"","ID","StartDate","Progress","Duration (in seconds)","Consent","AQ01","AQ02","AQ03","AQ04","AQ05","AQ06","AQ07","AQ08","AQ09","AQ10","AQ11","AQ12","AQ13","AQ14","AQ15","AQ16","AQ17","AQ18","AQ19","AQ20","AQ21","AQ22","AQ23","AQ24","AQ25","AQ26","AQ27","AQ28","RPrac","RPrac_H","RPrac_T_First Click","RPrac_T_Last Click","RPrac_T_Page Submit","RPrac_T_Click Count","R01","R01_H","R01_T_First Click","R01_T_Last Click","R01_T_Page Submit","R01_T_Click Count","R02","R02_H","R02_T_First Click","R02_T_Last Click","R02_T_Page Submit","R02_T_Click Count","R03","R03_H","R03_T_First Click","R03_T_Last Click","R03_T_Page Submit","R03_T_Click Count","R04","R04_H","R04_T_First Click","R04_T_Last Click","R04_T_Page Submit","R04_T_Click Count","R05","R05_H","R05_T_First Click","R05_T_Last Click","R05_T_Page Submit","R05_T_Click Count","R06","R06_H","R06_T_First Click","R06_T_Last Click","R06_T_Page Submit","R06_T_Click Count","R07","R07_H","R07_T_First Click","R07_T_Last Click","R07_T_Page Submit","R07_T_Click Count","R08","R08_H","R08_T_First Click","R08_T_Last Click","R08_T_Page Submit","R08_T_Click Count","R09","R09_H","R09_T_First Click","R09_T_Last Click","R09_T_Page Submit","R09_T_Click Count","R10","R10_H","R10_T_First Click","R10_T_Last Click","R10_T_Page Submit","R10_T_Click Count","R11","R11_H","R11_T_First Click","R11_T_Last Click","R11_T_Page Submit","R11_T_Click Count","R12","R12_T_First Click","R12_T_Last Click","R12_T_Page Submit","R12_T_Click Count","R12_H","R13","R13_T_First Click","R13_T_Last Click","R13_T_Page Submit","R13_T_Click Count","R13_H","R14","R14_H","R14_T_First Click","R14_T_Last Click","R14_T_Page Submit","R14_T_Click Count","R15","R15_T_First Click","R15_T_Last Click","R15_T_Page Submit","R15_T_Click Count","R15_H","R16","R16_H","R16_T_First Click","R16_T_Last Click","R16_T_Page Submit","R16_T_Click Count","R17","R17_H","R17_T_First Click","R17_T_Last Click","R17_T_Page Submit","R17_T_Click Count","R18","R18_H","R18_T_First Click","R18_T_Last Click","R18_T_Page Submit","R18_T_Click Count","R19","R19_H","R19_T_First Click","R19_T_Last Click","R19_T_Page Submit","R19_T_Click Count","R20","R20_H","R20_T_First Click","R20_T_Last Click","R20_T_Page Submit","R20_T_Click Count","R21","R21_H","R21_T_First Click","R21_T_Last Click","R21_T_Page Submit","R21_T_Click Count","R22","R22_H","R22_T_First Click","R22_T_Last Click","R22_T_Page Submit","R22_T_Click Count","R23","R23_H","R23_T_First Click","R23_T_Last Click","R23_T_Page Submit","R23_T_Click Count","R24","R24_H","R24_T_First Click","R24_T_Last Click","R24_T_Page Submit","R24_T_Click Count","R25","R25_H","R25_T_First Click","R25_T_Last Click","R25_T_Page Submit","R25_T_Click Count","R26","R26_H","R26_T_First Click","R26_T_Last Click","R26_T_Page Submit","R26_T_Click Count","R27","R27_H","R27_T_First Click","R27_T_Last Click","R27_T_Page Submit","R27_T_Click Count","R28","R28_H","R28_T_First Click","R28_T_Last Click","R28_T_Page Submit","R28_T_Click Count","R29","R29_T_First Click","R29_T_Last Click","R29_T_Page Submit","R29_T_Click Count","R29_H","R30","R30_H","R30_T_First Click","R30_T_Last Click","R30_T_Page Submit","R30_T_Click Count","R31","R31_H","R31_T_First Click","R31_T_Last Click","R31_T_Page Submit","R31_T_Click Count","R32","R32_T_First Click","R32_T_Last Click","R32_T_Page Submit","R32_T_Click Count","R32_H","R33","R33_H","R33_T_First Click","R33_T_Last Click","R33_T_Page Submit","R33_T_Click Count","R34","R34_H","R34_T_First Click","R34_T_Last Click","R34_T_Page Submit","R34_T_Click Count","R35","R35_H","R35_T_First Click","R35_T_Last Click","R35_T_Page Submit","R35_T_Click Count","R36","R36_H","R36_T_First Click","R36_T_Last Click","R36_T_Page Submit","R36_T_Click Count","R_Comfort_1","TAS01","TAS02","TAS03","TAS04","TAS05","TAS06","TAS07","TAS08","TAS09","TAS10","TAS11","TAS12","TAS13","TAS14","TAS15","TAS16","TAS17","TAS18","TAS19","TAS20","Attention_1","TOM_story_timer_First Click","TOM_story_timer_Last Click","TOM_story_timer_Page Submit","TOM_story_timer_Click Count","TOM_revise","TOM_story2_timer_First Click","TOM_story2_timer_Last Click","TOM_story2_timer_Page Submit","TOM_story2_timer_Click Count","TOM01","TOM02","TOM03","TOM04","TOM05","TOM06","TOM07","TOM08","TOM09","TOM10","TOM11","TOM12","TOM13","TOM14","TOM15","TOM16","TOM_question_timer_First Click","TOM_question_timer_Last Click","TOM_question_timer_Page Submit","TOM_question_timer_Click Count","Dem_ethnicity","Dem_ethnicity_9_TEXT","Dem_age","Dem_gender","Dem_gender_4_TEXT","Dem_education","Dem_god_4","Debrief_random","Debrief_device","Debrief_device_5_TEXT","age","gender","ethnicity"
"1",1,2020-08-20 06:58:15,100,949,1,4,2,1,2,4,1,3,3,3,1,2,4,3,4,4,2,3,4,3,2,2,3,3,3,3,2,2,1,3,NA,5.172,5.172,12.584,1,1,NA,4.01,4.01,5.95,1,4,NA,6.597,6.597,8.829,1,1,NA,3.447,3.447,5.494,1,1,NA,5.466,5.466,7.616,1,3,NA,4.569,4.569,6.579,1,1,NA,5.789,5.789,8.101,1,1,NA,5.256,5.256,7.053,1,1,1,7.096,14.962,17.8,2,1,NA,5.951,5.951,8.35,1,2,NA,11.019,11.019,13.251,1,1,NA,7.048,7.048,9.167,1,1,10.098,10.098,12.19,1,NA,4,6.136,6.136,8.569,1,NA,1,NA,6.321,6.321,8.555,1,1,6.554,9.322,14.028,2,1,1,NA,6.016,6.016,8.173,1,1,NA,7.371,7.371,9.24,1,3,NA,4.246,4.246,6.459,1,1,NA,6.014,6.014,7.807,1,1,NA,3.048,3.048,4.94,1,1,NA,5.357,5.357,7.185,1,4,NA,6.036,6.036,7.864,1,1,NA,2.916,2.916,4.756,1,1,1,7.554,16.755,19.754,2,1,NA,5.782,5.782,7.647,1,1,NA,3.476,3.476,5.101,1,1,NA,8.254,8.254,10.477,1,4,NA,4.02,4.02,5.817,1,1,4.92,4.92,6.717,1,NA,1,NA,3.901,3.901,5.701,1,1,NA,5.064,5.064,7.068,1,1,3.541,5.413,7.733,2,NA,3,NA,9.136,9.136,11.401,1,1,NA,10.237,10.237,12.525,1,2,NA,8.514,8.514,10.398,1,1,NA,5.993,5.993,7.786,1,7,3,1,4,5,3,1,3,1,3,5,1,2,3,2,3,3,2,5,5,2,0,0,0,72.89,0,8,19.946,19.946,60.251,1,2,2,2,1,2,1,2,1,1,1,1,1,2,1,2,2,20.381,112.381,113.815,16,2,NA,65,2,NA,3,100,2,1,NA,65,1,1
"2",2,2020-08-20 06:58:09,100,960,1,2,3,2,3,2,2,3,2,2,4,1,2,3,2,2,1,2,2,2,2,2,3,3,1,3,3,2,2,3,NA,14.73,14.73,18.654,1,1,NA,3.637,3.637,4.896,1,1,NA,4.733,4.733,6.081,1,1,NA,9.156,9.156,10.956,1,1,NA,6.316,6.316,7.926,1,1,NA,4.846,4.846,5.87,1,3,NA,5.181,21.151,22.632,3,1,NA,5.825,5.825,7.386,1,1,NA,5.15,5.15,7.029,1,2,NA,8.044,8.044,9.35,1,1,NA,5.842,5.842,7.185,1,1,NA,7.396,7.396,8.896,1,2,10.777,10.777,12.551,1,NA,2,5.724,5.724,6.732,1,NA,2,NA,8.847,8.847,9.994,1,2,8.145,8.145,9.404,1,NA,1,NA,6.7,6.7,8.121,1,1,NA,7.486,7.58,10.618,2,1,NA,7.565,7.565,9.293,1,3,NA,10.985,10.985,11.97,1,1,NA,5.006,5.006,6.165,1,1,NA,5.133,5.133,6.602,1,1,NA,5.99,5.99,7.271,1,4,NA,8.278,8.278,9.74,1,1,NA,6.501,7.923,8.526,2,3,NA,14.736,14.736,15.86,1,1,NA,5.094,5.094,6.985,1,3,NA,10.358,10.358,11.576,1,1,NA,12.507,12.507,13.619,1,3,6.063,6.063,8.275,1,NA,1,NA,4.546,4.546,6.106,1,1,NA,9.426,9.426,10.617,1,1,6.242,6.242,7.321,1,NA,1,NA,6.764,6.764,8.181,1,1,NA,7.856,7.856,9.052,1,3,NA,7.906,7.906,9.125,1,1,NA,7.287,7.287,8.702,1,10,4,4,4,2,4,4,5,3,4,4,4,3,4,3,3,4,5,5,3,2,0,0,0,79.137,0,NA,0,0,11.694,0,1,2,1,2,1,1,2,1,1,1,2,1,2,1,2,2,9.311,137.459,138.776,16,2,NA,65,2,NA,3,100,2,2,NA,65,1,1
"3",3,2020-08-20 06:59:29,100,1085,1,3,1,2,3,1,1,2,2,3,2,3,3,2,4,2,2,3,2,3,2,2,2,3,3,3,3,3,3,2,NA,22.179,22.179,24.851,1,1,NA,5.307,5.307,6.555,1,1,NA,11.496,11.496,14.221,1,4,NA,4.956,5.905,7.199,2,1,NA,5.473,5.473,6.733,1,1,NA,3.313,3.313,5.785,1,1,NA,29.481,29.481,30.691,1,3,NA,5.501,5.501,7.508,1,1,NA,4.174,4.174,5.856,1,1,NA,3.288,3.288,5.523,1,1,NA,6.298,6.966,8.33,2,1,NA,14.987,14.987,16.301,1,1,4.267,4.267,6.2,1,NA,2,7.174,7.174,8.185,1,NA,1,NA,4.68,4.68,5.798,1,1,3.756,3.756,6.124,1,NA,1,NA,4.504,5.357,6.701,2,1,NA,7.21,7.21,8.259,1,1,NA,23.166,23.166,24.45,1,1,NA,5.829,5.829,7.38,1,1,NA,21.019,22.053,22.967,2,1,NA,5.803,5.803,7.202,1,1,NA,5.883,5.883,6.964,1,3,NA,9.982,9.982,11.133,1,1,NA,5.094,5.094,6.329,1,1,NA,3.895,3.895,5.048,1,1,NA,6.757,6.757,7.822,1,1,NA,3.48,3.48,4.598,1,1,NA,8.199,8.199,9.337,1,1,4.986,4.986,6.685,1,NA,1,NA,25.47,26.588,27.359,2,1,NA,4.619,5.602,6.966,2,1,8.615,8.615,9.681,1,NA,1,NA,4.209,4.209,6.46,1,1,NA,4.071,4.071,5.251,1,3,NA,11.235,12.448,13.718,2,1,NA,7.292,7.292,8.439,1,10,1,1,1,5,3,1,1,1,1,5,1,1,1,1,2,2,1,3,2,2,0,6.099,37.634,46.432,4,NA,0,0,9.09,0,1,2,1,2,2,1,1,1,1,2,2,1,2,1,2,2,14.856,251.528,252.42,50,2,NA,46,1,NA,5,100,2,4,NA,46,2,1
"4",4,2020-08-20 06:58:07,100,1194,1,2,1,1,1,1,1,2,3,4,2,2,3,2,4,2,2,3,3,2,2,2,2,3,4,3,1,3,4,3,NA,4.717,4.717,6.514,1,1,NA,4.392,4.392,5.763,1,3,NA,12.688,12.688,13.723,1,2,NA,5.877,5.877,7.191,1,1,NA,11.192,11.192,12.201,1,2,NA,3.6,3.6,4.56,1,1,NA,6.112,6.112,7.203,1,1,NA,4.749,4.749,9.453,1,1,1,7.384,25.816,28.101,2,1,NA,3.552,3.552,4.371,1,1,NA,4.467,4.467,5.614,1,1,NA,10.399,10.399,11.257,1,1,5.968,5.968,6.616,1,NA,1,7.79,7.79,9.202,1,NA,2,NA,7.018,7.018,8.076,1,3,8.097,8.097,9.169,1,NA,1,NA,4.248,4.248,5.568,1,1,NA,4.241,4.241,5.289,1,4,NA,9.974,9.974,11.114,1,1,NA,4.907,4.907,5.802,1,2,NA,6.367,16.687,17.833,2,1,NA,7.062,7.062,8.112,1,1,NA,5.956,5.956,6.977,1,1,NA,6.985,6.985,7.931,1,4,1,4.542,15.263,17.657,2,1,NA,5.645,5.645,7.881,1,1,NA,5.276,5.276,6.436,1,1,NA,5.958,5.958,7.249,1,1,NA,7.364,7.364,8.296,1,1,6.356,6.356,7.294,1,NA,1,NA,2.787,2.787,3.736,1,1,NA,3.78,3.78,4.765,1,1,6.683,6.683,7.74,1,NA,1,NA,5.471,5.471,6.838,1,1,NA,3.44,5.759,6.954,2,2,NA,3.594,3.594,4.62,1,1,NA,3.881,3.881,4.906,1,7,2,1,1,4,4,1,3,2,3,5,2,1,1,2,4,2,2,5,2,5,0,0,0,82.718,0,NA,0,0,13.014,0,2,2,1,2,2,1,2,1,1,1,2,1,2,1,2,2,14.85,162.515,163.531,17,2,NA,57,1,NA,3,100,1,1,NA,58,2,1
"5",5,2020-08-20 06:40:07,100,2414,1,1,2,2,1,1,1,4,2,2,4,1,1,4,4,4,1,4,2,2,1,4,3,3,1,3,2,2,1,2,NA,4.112,4.112,5.653,1,1,NA,2.382,3.396,3.422,2,1,NA,2.676,2.676,3.634,1,1,NA,2.66,2.66,3.626,1,1,NA,3.143,3.143,3.794,1,1,NA,2.054,2.672,2.696,2,4,NA,0.646,0.646,1.271,1,1,NA,4.184,4.184,5.219,1,1,NA,3.111,3.111,3.76,1,2,NA,1.338,1.338,2.094,1,2,NA,2.804,2.804,4.337,1,3,NA,6.256,6.256,6.882,1,1,4.401,4.974,5.004,2,NA,3,0.518,0.518,1.046,1,NA,1,NA,2.946,2.946,3.532,1,1,4.917,4.917,5.625,1,NA,1,NA,2.264,2.264,2.802,1,3,NA,2.291,2.291,2.933,1,1,NA,4.779,4.779,5.521,1,4,NA,2.758,2.758,3.413,1,1,NA,2.095,2.479,5.011,2,1,NA,3.708,3.708,4.715,1,1,NA,4.993,4.993,5.728,1,1,NA,3.427,3.427,4.001,1,1,NA,93.353,93.353,93.955,1,1,NA,2.851,2.851,3.383,1,1,NA,3.051,3.051,3.941,1,4,NA,1.526,2.56,3.132,3,2,NA,1.673,2.155,2.182,2,1,2.309,2.309,3.051,1,NA,1,NA,2.412,2.412,2.878,1,2,NA,0.676,1.316,1.883,2,1,4.704,4.704,5.451,1,NA,4,NA,5.561,5.561,6.095,1,1,NA,7.409,7.409,8.083,1,3,NA,4.385,5.459,6.375,2,4,NA,0.555,1.122,1.146,2,8,2,5,5,5,3,3,2,5,3,2,3,3,3,4,2,3,1,3,4,1,0,4.233,4.233,6.459,1,8,1.078,67.274,69.292,3,2,1,2,1,1,1,2,2,1,1,1,2,2,1,2,2,2.663,26.358,28.547,28,2,NA,44,1,NA,3,13,2,4,NA,44,2,1
"6",6,2020-08-20 06:58:20,100,2268,1,2,2,1,2,4,3,4,3,2,4,2,2,4,3,4,2,4,1,2,3,3,3,3,1,3,2,1,2,1,NA,6.182,6.182,10.191,1,4,1,5.363,8.605,10.426,3,4,1,4.602,6.019,9.682,2,4,1,7.171,10.371,11.693,3,4,1,64.575,66.037,69.147,2,4,1,7.987,12.823,17.871,3,3,1,31.285,32.586,52.598,2,3,1,61.589,62.637,67.063,2,1,1,12.251,13.336,15.852,2,2,1,209.342,210.3,213.105,2,4,1,67.332,68.519,71.011,2,3,NA,7.911,7.911,10.06,1,1,6.457,7.635,10.235,2,1,1,4.805,6.292,8.533,2,1,1,1,9.213,15.32,44.112,4,2,57.123,58.421,62.506,2,1,3,1,7.258,8.613,14.401,2,3,1,2.957,8.043,10.129,3,2,1,9.277,10.391,13.114,2,2,1,10.628,14.242,16.491,3,2,1,11.891,14.583,16.149,2,1,1,8.036,9.277,11.57,2,2,1,7.477,12.645,17.421,3,1,1,5.908,7.409,10.163,2,2,1,2.989,6.846,10.114,2,4,1,32.438,33.5,36.295,2,4,NA,4.641,5.998,7.265,2,4,1,10.428,11.624,15.863,2,2,1,24.433,29.891,31.578,3,4,107.456,108.834,111.864,2,1,1,1,6.196,10.333,17.77,3,2,1,27.821,29.032,32.037,2,2,5.381,5.381,7.394,1,NA,2,1,6.193,23.439,24.516,3,3,1,12.195,13.223,19.56,2,4,1,5.583,7.192,9.094,2,2,1,5.8,8.7,10.77,2,9,1,2,4,4,3,2,4,3,3,5,1,2,4,4,4,3,1,5,4,5,0,0,0,88.563,0,NA,0,0,9.403,0,2,1,2,2,2,1,2,2,1,2,2,1,2,1,2,2,41.104,191.296,198.76,19,2,NA,55,1,NA,2,0,2,2,NA,55,2,1
"7",7,2020-08-20 06:50:13,100,2912,1,1,2,1,1,2,1,2,1,2,1,1,2,1,3,4,1,2,2,1,1,1,1,1,1,4,4,1,2,3,NA,18.763,50.227,52.076,2,3,NA,5.378,31.009,32.503,3,1,1,7.706,25.089,29.147,2,3,NA,3.968,28.376,30.302,6,1,NA,2.627,32.595,33.264,4,1,NA,6.452,24.172,25.81,3,1,1,32.894,54.368,66.142,3,1,1,10.642,26.026,28.056,2,3,NA,2.429,43.237,48.882,3,3,NA,5.028,5.028,6.859,1,1,NA,7.434,73.69,79.415,8,1,NA,7.557,48.549,49.993,6,1,3.497,18.592,20.087,3,NA,1,38.949,56.83,60.092,2,1,4,1,4.431,78.663,81.436,7,1,4.416,71.065,74.191,9,1,1,NA,9.726,9.726,11.24,1,1,NA,2.48,2.48,4.452,1,1,NA,5.342,20.791,22.298,3,1,1,9.286,65.495,74.096,6,1,NA,4.666,4.666,8.163,1,1,1,7.348,79.468,82.099,7,1,NA,2.877,12.501,13.594,3,1,NA,3.96,25.969,27.501,3,1,NA,6.64,23.36,25.27,3,3,NA,4.855,42.088,43.95,3,2,NA,3.638,20.702,22.165,4,4,NA,57.719,57.719,59.636,1,1,1,3.775,9.392,12.382,2,1,5.197,42.948,45.01,5,NA,3,NA,3.873,55.193,56.983,6,1,NA,3.466,18.434,21.959,3,1,5.713,5.713,10.255,1,NA,1,NA,3.258,10.93,12.333,3,1,1,7.57,69.81,78.864,8,2,1,5.293,46.798,49.776,7,2,NA,3.636,3.636,5.724,1,10,5,1,1,5,5,4,4,4,1,2,2,4,1,1,5,4,1,5,5,4,0,20.182,71.038,71.544,2,8,5.571,5.571,86.781,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,4.919,360.991,362.359,63,2,NA,40,2,NA,6,100,1,2,NA,41,1,1
"8",8,2020-08-20 06:59:57,100,2655,1,4,2,2,1,4,1,4,4,4,2,4,4,4,4,4,2,1,4,4,4,2,1,4,3,1,1,3,1,2,NA,8.73,16.982,20.573,3,1,NA,6.218,8.348,9.122,2,4,NA,6.044,7.616,8.39,2,4,NA,20.513,21.959,22.59,2,1,NA,10.47,12.253,13.034,2,2,NA,10.362,24.267,24.921,2,3,NA,12.41,14.452,15.136,2,4,NA,11.971,14.469,16.485,2,1,1,8.321,35.755,36.347,10,1,NA,5.869,7.184,7.909,2,3,1,37.357,94.715,96.715,11,1,1,6.616,28.729,31.076,5,1,9.324,11.802,11.836,3,NA,1,7.521,8.792,9.328,2,NA,1,NA,3.883,5.613,6.201,2,1,18.07,21.722,22.416,2,NA,2,NA,12.589,16.789,17.761,2,1,NA,3.839,5.331,6.095,2,1,NA,29.643,34.158,36.626,3,1,NA,25.984,25.984,27.281,1,2,NA,3.832,15.506,16.073,3,1,NA,11.815,13.179,13.793,2,1,NA,11.428,13.596,13.642,3,4,NA,15.701,17.203,17.889,2,1,1,20.197,47.707,51.891,9,3,NA,8.87,11.075,11.901,2,1,NA,153.108,154.595,155.218,2,3,NA,12.701,14.285,15.014,2,4,NA,6.23,7.68,9.101,2,1,8.256,9.959,11.251,2,NA,1,NA,3.558,6.958,7.894,2,4,NA,24.178,25.44,26.188,2,1,10.307,18.558,20.456,3,NA,1,NA,6.401,8.537,9.617,2,1,NA,7.13,10.316,10.978,2,1,NA,7.803,14.339,16.024,2,1,NA,11.681,13.866,13.91,3,10,1,5,1,5,1,1,1,1,5,3,1,1,5,4,3,1,3,1,1,5,0,51.056,124.588,152.088,6,NA,18.697,18.697,19.796,1,1,2,2,2,2,1,2,2,1,1,2,1,1,1,2,2,14.039,144.698,145.527,31,2,NA,56,1,NA,2,100,2,4,NA,56,2,1
"9",9,2020-08-21 13:18:18,100,724,1,4,2,1,1,2,1,3,1,3,2,1,4,4,4,1,2,4,4,1,2,1,2,2,3,1,1,4,1,3,1,7.651,12.372,14.188,5,1,NA,4.589,5.147,7.69,2,1,NA,2.658,2.658,3.439,1,4,NA,8.208,8.208,9.118,1,4,NA,3.368,3.368,4.783,1,1,NA,2.834,2.834,3.541,1,4,NA,1.667,1.667,2.991,1,1,NA,2.294,2.294,2.845,1,1,NA,1.863,1.863,2.661,1,2,NA,2.636,3.159,5.742,2,3,NA,2.588,2.588,3.071,1,1,NA,3.046,3.046,3.727,1,1,2.483,2.483,3.19,1,NA,4,2.393,2.393,2.934,1,NA,1,NA,6.301,6.301,7.038,1,3,2.865,2.865,3.616,1,NA,2,NA,0.557,4.471,5.15,2,4,NA,3.925,3.925,5.163,1,1,NA,5.685,5.685,6.466,1,2,NA,2.724,2.724,3.614,1,1,NA,3.248,3.248,3.956,1,1,NA,9.466,9.466,10.217,1,4,NA,4.263,4.263,4.803,1,4,NA,12.168,12.168,12.89,1,1,NA,4.948,4.948,5.58,1,4,1,6.443,11.633,12.9,5,1,1,3.066,17.335,18.392,6,3,NA,4.988,4.988,5.664,1,2,NA,3.953,3.953,4.665,1,1,6.403,7.077,9.46,2,NA,1,NA,3.85,3.85,4.779,1,4,NA,5.587,6.018,6.041,2,3,4.56,4.56,5.334,1,NA,4,NA,2.643,2.643,3.383,1,1,NA,2.653,2.653,2.862,1,4,NA,8.094,8.094,8.446,1,1,NA,1.981,1.981,2.518,1,8,3,3,3,1,3,3,5,3,3,3,3,3,5,3,3,3,1,3,3,3,0,2.419,37.526,84.031,6,NA,0,0,8.901,0,2,2,1,2,2,1,2,1,1,2,2,1,2,1,2,2,11.203,138.688,140.217,40,4,NA,20,1,NA,2,52,1,4,NA,18,2,15
"10",10,2020-08-21 13:32:55,100,414,1,4,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,NA,4.24,4.24,5.651,1,1,NA,3.181,3.181,4.144,1,4,NA,9.38,9.38,10.036,1,1,NA,4.044,4.044,4.743,1,1,NA,4.223,4.223,4.814,1,1,NA,2.724,3.214,3.23,2,3,NA,4.406,4.406,4.888,1,1,NA,2.604,2.604,3.76,1,1,NA,3.966,3.966,4.947,1,1,NA,3.223,3.223,4.049,1,3,NA,2.834,2.834,3.287,1,1,NA,3.372,3.372,4.072,1,1,8.803,8.803,9.421,1,NA,1,3.175,4.427,5.276,2,NA,1,NA,3.455,3.455,4.211,1,1,2.746,2.746,3.211,1,NA,1,NA,1.678,1.678,2.364,1,3,NA,30.738,30.738,31.263,1,1,NA,2.707,2.707,3.434,1,2,NA,18.461,18.461,18.911,1,1,NA,4.2,4.2,5.138,1,1,NA,2.311,2.311,2.775,1,1,NA,2.001,2.553,2.569,2,4,NA,4.005,4.005,5.07,1,1,NA,2.812,3.721,4.176,2,1,NA,21.377,21.377,22.744,1,1,NA,3.426,3.426,4.226,1,3,NA,3.244,3.244,3.981,1,1,NA,2.998,2.998,3.498,1,1,2.189,2.189,2.619,1,NA,1,NA,2.333,2.333,2.98,1,1,NA,3.349,3.349,3.837,1,1,3.13,3.13,4.321,1,NA,1,NA,1.941,1.941,2.397,1,1,NA,7.634,7.634,8.288,1,1,NA,2.344,2.344,3.285,1,1,NA,1.811,1.811,3.027,1,10,1,1,1,1,1,1,5,5,1,1,5,1,1,1,5,5,1,5,5,1,0,0.862,0.862,2.319,1,NA,0,0,2.378,0,1,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2.074,13.289,13.808,24,2,NA,21,1,NA,5,0,2,4,NA,56,1,3
